"player_id","CONF","franchise_id","drop_time_key","lock_kind","date_locked_text","release_condition","dropped_by"
"17784","NFC",NA,"2026-09-22 03:37:00","system","Tue Sep 22 3:37:00 a.m. ET 2026","Waivers After Wed Sep 23 3:37:00 a.m. ET 2026","Added To System"
"14120","NFC",NA,"2026-09-22 03:37:00","system","Tue Sep 22 3:37:00 a.m. ET 2026","Waivers After Wed Sep 23 3:37:00 a.m. ET 2026","Added To System"
"17352","NFC","0009","2026-09-22 10:07:15","drop","Tue Sep 22 10:07:15 a.m. ET 2026","Waivers After Wed Sep 23 10:07:15 a.m. ET 2026","Atlanta Falcons"
"13965","NFC",NA,"2026-09-22 03:37:00","system","Tue Sep 22 3:37:00 a.m. ET 2026","Waivers After Wed Sep 23 3:37:00 a.m. ET 2026","Added To System"
"17787","NFC",NA,"2026-09-22 03:37:00","system","Tue Sep 22 3:37:00 a.m. ET 2026","Waivers After Wed Sep 23 3:37:00 a.m. ET 2026","Added To System"
"17415","NFC",NA,"2026-09-22 03:37:00","system","Tue Sep 22 3:37:00 a.m. ET 2026","Waivers After Wed Sep 23 3:37:00 a.m. ET 2026","Added To System"
"17456","NFC",NA,"2026-09-22 03:37:00","system","Tue Sep 22 3:37:00 a.m. ET 2026","Waivers After Wed Sep 23 3:37:00 a.m. ET 2026","Added To System"
"17782","NFC",NA,"2026-09-22 03:37:00","system","Tue Sep 22 3:37:00 a.m. ET 2026","Waivers After Wed Sep 23 3:37:00 a.m. ET 2026","Added To System"
"17788","NFC",NA,"2026-09-22 03:37:00","system","Tue Sep 22 3:37:00 a.m. ET 2026","Waivers After Wed Sep 23 3:37:00 a.m. ET 2026","Added To System"
"16703","NFC","0009","2026-09-22 10:07:15","drop","Tue Sep 22 10:07:15 a.m. ET 2026","Waivers After Wed Sep 23 10:07:15 a.m. ET 2026","Atlanta Falcons"
"17780","NFC",NA,"2026-09-22 03:37:00","system","Tue Sep 22 3:37:00 a.m. ET 2026","Waivers After Wed Sep 23 3:37:00 a.m. ET 2026","Added To System"
"17785","NFC",NA,"2026-09-22 03:37:00","system","Tue Sep 22 3:37:00 a.m. ET 2026","Waivers After Wed Sep 23 3:37:00 a.m. ET 2026","Added To System"
"17427","NFC",NA,"2026-09-22 03:37:00","system","Tue Sep 22 3:37:00 a.m. ET 2026","Waivers After Wed Sep 23 3:37:00 a.m. ET 2026","Added To System"
"16515","NFC",NA,"2026-09-22 03:37:00","system","Tue Sep 22 3:37:00 a.m. ET 2026","Waivers After Wed Sep 23 3:37:00 a.m. ET 2026","Added To System"
"13767","NFC","0008","2026-09-22 02:04:04","drop","Tue Sep 22 2:04:04 a.m. ET 2026","Waivers After Wed Sep 23 2:04:04 a.m. ET 2026","Minnesota Vikings"
"17784","AFC",NA,"2026-09-22 03:37:00","system","Tue Sep 22 3:37:00 a.m. ET 2026","Waivers After Wed Sep 23 3:37:00 a.m. ET 2026","Added To System"
"14120","AFC",NA,"2026-09-22 03:37:00","system","Tue Sep 22 3:37:00 a.m. ET 2026","Waivers After Wed Sep 23 3:37:00 a.m. ET 2026","Added To System"
"12739","AFC","0021","2026-09-22 08:24:07","drop","Tue Sep 22 8:24:07 a.m. ET 2026","Waivers After Wed Sep 23 8:24:07 a.m. ET 2026","Baltimore Ravens"
"13965","AFC",NA,"2026-09-22 03:37:00","system","Tue Sep 22 3:37:00 a.m. ET 2026","Waivers After Wed Sep 23 3:37:00 a.m. ET 2026","Added To System"
"17787","AFC",NA,"2026-09-22 03:37:00","system","Tue Sep 22 3:37:00 a.m. ET 2026","Waivers After Wed Sep 23 3:37:00 a.m. ET 2026","Added To System"
"17415","AFC",NA,"2026-09-22 03:37:00","system","Tue Sep 22 3:37:00 a.m. ET 2026","Waivers After Wed Sep 23 3:37:00 a.m. ET 2026","Added To System"
"17456","AFC",NA,"2026-09-22 03:37:00","system","Tue Sep 22 3:37:00 a.m. ET 2026","Waivers After Wed Sep 23 3:37:00 a.m. ET 2026","Added To System"
"17782","AFC",NA,"2026-09-22 03:37:00","system","Tue Sep 22 3:37:00 a.m. ET 2026","Waivers After Wed Sep 23 3:37:00 a.m. ET 2026","Added To System"
"17788","AFC",NA,"2026-09-22 03:37:00","system","Tue Sep 22 3:37:00 a.m. ET 2026","Waivers After Wed Sep 23 3:37:00 a.m. ET 2026","Added To System"
"17780","AFC",NA,"2026-09-22 03:37:00","system","Tue Sep 22 3:37:00 a.m. ET 2026","Waivers After Wed Sep 23 3:37:00 a.m. ET 2026","Added To System"
"17785","AFC",NA,"2026-09-22 03:37:00","system","Tue Sep 22 3:37:00 a.m. ET 2026","Waivers After Wed Sep 23 3:37:00 a.m. ET 2026","Added To System"
"17427","AFC",NA,"2026-09-22 03:37:00","system","Tue Sep 22 3:37:00 a.m. ET 2026","Waivers After Wed Sep 23 3:37:00 a.m. ET 2026","Added To System"
"15001","AFC","0028","2026-09-21 20:12:05","drop","Mon Sep 21 8:12:05 p.m. ET 2026","Waivers After Tue Sep 22 8:12:05 p.m. ET 2026","Tennessee Titans"
"16515","AFC",NA,"2026-09-22 03:37:00","system","Tue Sep 22 3:37:00 a.m. ET 2026","Waivers After Wed Sep 23 3:37:00 a.m. ET 2026","Added To System"
"13767","AFC","0018","2026-09-22 00:27:28","drop","Tue Sep 22 12:27:28 a.m. ET 2026","Waivers After Wed Sep 23 12:27:28 a.m. ET 2026","Miami Dolphins"
