season,snapshot_time,franchise_id,franchise_name,CONF,player_id,player_name,roster_status,roster_salary,roster_years,roster_contractInfo
2026,2026-05-14T03:30:24Z,0001,Dallas Cowboys,NFC,14892,"Brooks, Jordyn",Active,7.66,1,2023 iEXT
2026,2026-05-14T03:30:24Z,0001,Dallas Cowboys,NFC,13723,"Payne, Da'Ron",Active,7.99,1,2023 SRFA
2026,2026-05-14T03:30:24Z,0001,Dallas Cowboys,NFC,16226,"Wilson, Tyree",Active,2.1,1,2023 2.06
2026,2026-05-14T03:30:24Z,0001,Dallas Cowboys,NFC,14405,"Granderson, Carl",Active,10.03,1,2023 iEXT
2026,2026-05-14T03:30:24Z,0001,Dallas Cowboys,NFC,15366,"Holland, Jevon",Active,7.3,2,2024 B/R
2026,2026-05-14T03:30:24Z,0001,Dallas Cowboys,NFC,14797,"Swift, D'Andre",Active,13.07,1,2024 UFA
2026,2026-05-14T03:30:24Z,0001,Dallas Cowboys,NFC,16627,"McConkey, Ladd",Active,3.03,2,2024 1.12
2026,2026-05-14T03:30:24Z,0001,Dallas Cowboys,NFC,14947,"Wonnum, D.J.",Active,3.92,1,2024 UFA
2026,2026-05-14T03:30:24Z,0001,Dallas Cowboys,NFC,16704,"Wallace, Trevin",Active,1.2,2,2024 4.02
2026,2026-05-14T03:30:24Z,0001,Dallas Cowboys,NFC,11769,"Lawrence, Demarcus",Active,1.1,1,2025 R/F
2026,2026-05-14T03:30:24Z,0001,Dallas Cowboys,NFC,13839,"Sieler, Zach",Active,16.5,2,2025 RRFA
2026,2026-05-14T03:30:24Z,0001,Dallas Cowboys,NFC,15331,"Freiermuth, Pat",Active,4.53,1,2024 iEXT
2026,2026-05-14T03:30:24Z,0001,Dallas Cowboys,NFC,17031,"Sanders, Shedeur",Active,1.17,3,2025 4.02
2026,2026-05-14T03:30:24Z,0001,Dallas Cowboys,NFC,17102,"Warren, Tyler",Active,3.66,3,2025 1.10
2026,2026-05-14T03:30:24Z,0001,Dallas Cowboys,NFC,17148,"Collins, Alfred",Active,1.14,3,2025 4.04
2026,2026-05-14T03:30:24Z,0001,Dallas Cowboys,NFC,17115,"Pearce, James",Active,1.43,3,2025 3.05
2026,2026-05-14T03:30:24Z,0001,Dallas Cowboys,NFC,17131,"Watts, Xavier",Active,1.29,3,2025 3.13
2026,2026-05-14T03:30:24Z,0001,Dallas Cowboys,NFC,10266,"Heyward, Cameron",Active,13.59,1,2025 UFA
2026,2026-05-14T03:30:24Z,0001,Dallas Cowboys,NFC,15365,"Moehrig, Trevon",Active,7.18,3,2026 oEXT
2026,2026-05-14T03:30:24Z,0001,Dallas Cowboys,NFC,14219,"Dean, Jamel",Active,2.25,2,2026 oEXT
2026,2026-05-14T03:30:24Z,0001,Dallas Cowboys,NFC,14170,"Bush, Devin",Active,10.78,2,2026 oEXT
2026,2026-05-14T03:30:24Z,0001,Dallas Cowboys,NFC,16165,"Spears, Tyjae",Active,1.47,1,2023 3.07
